sep=	
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
  2001	2,676,998	2,309,464	2,246,633	1,807,170	1,522,382	1,444,378	1,598,071	1,669,178	1,494,128	1,649,073	1,700,950	2,120,198
  2002	2,487,638	2,242,427	2,258,431	1,880,985	1,611,453	1,591,373	1,748,435	1,725,712	1,542,170	1,645,873	1,913,629	2,378,895
  2003	2,700,545	2,500,315	2,197,936	1,743,530	1,514,697	1,368,369	1,600,484	1,651,580	1,428,554	1,553,189	1,753,642	2,263,659
  2004	2,675,834	2,511,097	2,100,921	1,745,171	1,573,043	1,483,684	1,584,933	1,577,962	1,482,150	1,557,224	1,782,796	2,327,730
  2005	2,561,858	2,242,986	2,205,787	1,724,877	1,522,613	1,534,122	1,686,609	1,695,102	1,422,495	1,428,227	1,663,400	2,326,360
  2006	2,165,268	2,144,378	2,126,369	1,681,005	1,526,297	1,550,879	1,758,733	1,751,683	1,462,070	1,644,231	1,765,375	2,122,784
  2007	2,475,594	2,566,993	2,128,845	1,810,079	1,559,080	1,555,226	1,659,882	1,896,137	1,590,484	1,627,791	1,834,529	2,399,154
  2008	2,733,970	2,503,421	2,278,151	1,823,867	1,576,387	1,604,249	1,708,641	1,682,924	1,460,924	1,635,827	1,868,947	2,399,702
  2009	2,729,715	2,332,539	2,170,709	1,741,293	1,504,000	1,527,833	1,657,997	1,736,462	1,574,975	1,666,520	1,776,171	2,491,864
  2010	2,809,788	2,480,950	2,142,925	1,691,813	1,617,274	1,649,515	1,825,828	1,878,926	1,637,491	1,664,938	1,973,294	2,714,054
  2011	2,888,640	2,452,403	2,230,493	1,825,023	1,667,396	1,657,334	1,890,515	1,891,783	1,655,634	1,744,454	2,031,872	2,541,878
  2012	2,756,180	2,500,654	2,127,761	1,953,071	1,873,835	1,868,356	2,069,773	2,008,815	1,807,208	1,901,084	2,167,841	2,503,907
  2013	2,878,785	2,567,155	2,521,108	1,967,458	1,752,469	1,742,917	1,926,330	1,927,379	1,766,973	1,866,762	2,316,909	2,920,826
  2014	3,204,129	2,741,240	2,557,890	1,961,678	1,810,222	1,745,351	1,881,017	1,933,061	1,809,291	1,912,810	2,357,521	2,679,165
  2015	3,114,982	2,925,172	2,591,329	2,007,922	1,858,149	1,899,906	2,067,714	2,052,728	1,901,337	1,987,310	2,249,140	2,588,168
  2016	3,091,963	2,651,435	2,357,193	2,089,428	1,971,403	2,005,495	2,193,321	2,216,069	1,951,327	1,926,261	2,164,351	2,867,271
